INFO: 2025/04/03 00:30:36 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:30:36 logger.go:40: Request: GET /ws | Duration: 1.0022ms
INFO: 2025/04/03 00:30:48 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:32:04 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:32:04 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:32:07 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:32:07 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:32:08 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:32:08 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:32:49 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:24 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:24 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:24 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:26 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:26 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:26 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:32 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:32 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:32 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:36 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:36 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:36 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:42 logger.go:40: Request: GET /ws | Duration: 518.5µs
INFO: 2025/04/03 00:48:42 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:43 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:48:56 logger.go:40: Request: GET /ws | Duration: 530.2µs
INFO: 2025/04/03 00:49:05 logger.go:40: Request: GET /ws | Duration: 0s
